,topic_1,topics,num_articles_1,num_articles_2,resid,category,probability
0,0,films music story bowen songs island books world ,389,443,0.9637268078453389,arts & entertainment,99.97185139773654
1,1,cases health tested new province virus deaths outbreaks ,222,275,0.9158586272073864,covid-19,97.97018643489946
2,2,players teams game season league play hockey sports ,316,182,0.9282535136150805,sports,99.99971008401783
3,3,police rcmp investigate man charge office incidents crime ,227,153,0.9269224094940535,local,76.3356777745404
4,4,burnaby photos new west photograph jennifer gauthier ,178,235,0.9431023686669359,local,66.67881651365863
5,5,school students programming learn educator children parents kids ,253,312,0.9419590522611607,lifestyle,81.57875543819841
6,6,government canadians federal businesses billion trudeau minister million ,488,437,0.9595422422527669,politics,96.70059410317687
7,7,north shores news vancouver photos ,148,178,0.9040354520206003,local,95.58387696054045
8,8,patients dr dental clinic client's care health denture ,249,217,0.9510569137125292,covid-19,98.1286343513615
9,9,funeral home forest lawn arrange knapman ,40,14,0.6908396554047161,local,72.75258729847958
10,10,restaurants food custom businesses store dishes local menu ,394,270,0.9569766482461719,local,64.35567028892486
11,11,city parking council houses building street site resident ,385,450,0.9602887030709683,local,82.20084440958448
12,12,arts artists gallery exhibit painting culture council studio ,147,155,0.9052487399584406,local,99.53382804798773
13,13,mask wear face public cover mandatory ,109,131,0.8900120318944045,covid-19,97.77779906069902
14,14,car vehicle engineers prices driving driver model wheels ,190,283,0.9443710102997896,business,99.18014250390075
