location,topic,topic_num,titles,urls,lat,long,category,world_score,canada_score,bc_score,image_urls
A+,just people times think things family feel know ,0,"['A bright future awaits for your cabinets – Abbotsford News', 'A bright future awaits for your cabinets – Chilliwack Progress']","['https://www.abbynews.com/marketplace/a-bright-future-awaits-for-your-cabinets/', 'https://www.theprogress.com/marketplace/a-bright-future-awaits-for-your-cabinets/']",40.7696272,44.6736646,lifestyle,20.0,14.0,11.0,"['https://www.abbynews.com/marketplace/a-bright-future-awaits-for-your-cabinets/', 'https://www.theprogress.com/marketplace/a-bright-future-awaits-for-your-cabinets/']"
ABBOTSFORD,just people times think things family feel know ,0,['Abbotsford family raising funds for custom trailer for daughter with severe allergies'],['https://bc.ctvnews.ca/abbotsford-family-raising-funds-for-custom-trailer-for-daughter-with-severe-allergies-1.5024570'],49.0521162,-122.32947920000001,lifestyle,20.0,14.0,11.0,['https://bc.ctvnews.ca/abbotsford-family-raising-funds-for-custom-trailer-for-daughter-with-severe-allergies-1.5024570']
Abbotsford,just people times think things family feel know ,0,"['19 times on 19th birthday: Aldergrove teen goes from crutches to conquering Abby Grind – Abbotsford News', 'Abbotsford woman releases book of poetry – Abbotsford News', ""Coquitlam teen author's colouring book to celebrate everyday super heroes""]","['https://www.abbynews.com/news/19-times-on-19th-birthday-aldergrove-teen-once-immobile-conquers-abby-grind-in-good-health/', 'https://www.abbynews.com/entertainment/abbotsford-woman-releases-book-of-poetry/', 'https://www.tricitynews.com/community/coquitlam-teen-author-s-colouring-book-to-celebrate-everyday-super-heroes-1.24129448']",49.0521162,-122.32947920000001,lifestyle,20.0,14.0,11.0,"['https://www.abbynews.com/news/19-times-on-19th-birthday-aldergrove-teen-once-immobile-conquers-abby-grind-in-good-health/', 'https://www.abbynews.com/entertainment/abbotsford-woman-releases-book-of-poetry/', 'https://www.tricitynews.com/community/coquitlam-teen-author-s-colouring-book-to-celebrate-everyday-super-heroes-1.24129448']"
Alberta,just people times think things family feel know ,0,['Jack Knox: Self-appointed behaviour judges need to see the real picture'],['https://www.nsnews.com/nsn-50th/jack-knox-self-appointed-behaviour-judges-need-to-see-the-real-picture-1.24171159'],55.001251,-115.00213600000001,lifestyle,20.0,14.0,11.0,['https://www.nsnews.com/nsn-50th/jack-knox-self-appointed-behaviour-judges-need-to-see-the-real-picture-1.24171159']
America,just people times think things family feel know ,0,"['ASK AMY: Inheritance leads to a Dickens of a problem', 'A short history of the word ‘Simp’', 'Book Review: Intertwining family, history and love']","['https://torontosun.com/life/relationships/ask-amy-inheritance-leads-to-a-dickens-of-a-problem', 'https://www.thestar.com/life/relationships/2020/07/13/a-short-history-of-the-word-simp.html', 'https://www.richmond-news.com/opinion/columnists/book-review-intertwining-family-history-and-love-1.24166876']",51.44770365,5.966069282055592,lifestyle,20.0,14.0,11.0,"['https://torontosun.com/life/relationships/ask-amy-inheritance-leads-to-a-dickens-of-a-problem', 'https://www.thestar.com/life/relationships/2020/07/13/a-short-history-of-the-word-simp.html', 'https://www.richmond-news.com/opinion/columnists/book-review-intertwining-family-history-and-love-1.24166876']"
Berlin,just people times think things family feel know ,0,"['Feed the soul: In chaotic times, gardening becomes therapy']",['https://www.ctvnews.ca/lifestyle/feed-the-soul-in-chaotic-times-gardening-becomes-therapy-1.4877112'],52.5170365,13.388859900000002,lifestyle,20.0,14.0,11.0,['https://www.ctvnews.ca/lifestyle/feed-the-soul-in-chaotic-times-gardening-becomes-therapy-1.4877112']
Black.,just people times think things family feel know ,0,['COVID keeping island family from their new son'],['https://www.bowenislandundercurrent.com/community/covid-keeping-island-family-from-their-new-son-1.24147604'],31.0093468,-85.7443772,lifestyle,20.0,14.0,11.0,['https://www.bowenislandundercurrent.com/community/covid-keeping-island-family-from-their-new-son-1.24147604']
Boatloadofnerve,just people times think things family feel know ,0,['Woodbine community rallies around one of their own'],['https://torontosun.com/sports/horse-racing/woodbine-community-rallies-around-one-of-their-own'],0.0,0.0,lifestyle,20.0,14.0,11.0,['https://torontosun.com/sports/horse-racing/woodbine-community-rallies-around-one-of-their-own']
Bowmanville,just people times think things family feel know ,0,['Do online groups push extreme diets too far?'],['https://www.thestar.com/life/health_wellness/2020/01/10/do-online-groups-push-extreme-diets-too-far.html'],43.9122995,-78.68916750000001,lifestyle,20.0,14.0,11.0,['https://www.thestar.com/life/health_wellness/2020/01/10/do-online-groups-push-extreme-diets-too-far.html']
Bridger,just people times think things family feel know ,0,"[""Chris Evans sending 'Captain America' shield to little boy who saved sister from dog attack"", 'Boy gets 90 stitches after saving little sister from dog attack']","['https://www.ctvnews.ca/entertainment/chris-evans-sending-captain-america-shield-to-little-boy-who-saved-sister-from-dog-attack-1.5027123', 'https://www.ctvnews.ca/world/boy-gets-90-stitches-after-saving-little-sister-from-dog-attack-1.5025401']",45.2957807,-108.9137544,lifestyle,20.0,14.0,11.0,"['https://www.ctvnews.ca/entertainment/chris-evans-sending-captain-america-shield-to-little-boy-who-saved-sister-from-dog-attack-1.5027123', 'https://www.ctvnews.ca/world/boy-gets-90-stitches-after-saving-little-sister-from-dog-attack-1.5025401']"
British Columbia,just people times think things family feel know ,0,"['National Kitten Day aka the ‘purrfect’ day to foster a new friend – Maple Ridge News', 'COLUMN: An open letter to my fellow straight white males – Chilliwack Progress']","['https://www.mapleridgenews.com/trending-now/national-kitten-day-aka-the-purrfect-day-to-foster-a-new-friend/', 'https://www.theprogress.com/opinion/column-an-open-letter-to-my-fellow-straight-white-males/']",55.001251,-125.00244099999999,lifestyle,20.0,14.0,11.0,"['https://www.mapleridgenews.com/trending-now/national-kitten-day-aka-the-purrfect-day-to-foster-a-new-friend/', 'https://www.theprogress.com/opinion/column-an-open-letter-to-my-fellow-straight-white-males/']"
Burnaby,just people times think things family feel know ,0,"['Opinion: Burnaby trail user fed up with lack of distancing', 'Online comedy showcase raises money for North Van neighbourhood restaurant', 'Owner behind iconic Burnaby sign remembered as strong businesswoman', 'Wednesday night Bible study offers explorations of Christian faith', 'Why you need to think about your plumbing system']","['http://www.burnabynow.com/opinion/blogs/opinion-burnaby-trail-user-fed-up-with-lack-of-distancing-1.24169936', 'https://www.nsnews.com/entertainment/online-comedy-showcase-raises-money-for-north-van-neighbourhood-restaurant-1.24164898', 'https://www.burnabynow.com/news/owner-behind-iconic-burnaby-sign-remembered-as-strong-businesswoman-1.24097762', 'https://www.burnabynow.com/standout/wednesday-night-bible-study-offers-explorations-of-christian-faith-1.2290920', 'https://www.vancourier.com/standout/why-you-need-to-think-about-your-plumbing-system-1.2292081']",49.2433804,-122.9725459,lifestyle,20.0,14.0,11.0,"['http://www.burnabynow.com/opinion/blogs/opinion-burnaby-trail-user-fed-up-with-lack-of-distancing-1.24169936', 'https://www.nsnews.com/entertainment/online-comedy-showcase-raises-money-for-north-van-neighbourhood-restaurant-1.24164898', 'https://www.burnabynow.com/news/owner-behind-iconic-burnaby-sign-remembered-as-strong-businesswoman-1.24097762', 'https://www.burnabynow.com/standout/wednesday-night-bible-study-offers-explorations-of-christian-faith-1.2290920', 'https://www.vancourier.com/standout/why-you-need-to-think-about-your-plumbing-system-1.2292081']"
Canada,just people times think things family feel know ,0,"['COLUMN: Why you probably agree with the Black Lives Matter slogan, even if you think you don’t – Abbotsford News', 'Bessie celebrates 105th birthday having survived two pandemics', '‘If I wanted a nude bra, I had to paint one’', 'Canadian international Alphonso Davies credits family for positive outlook', ""Opinion: How to ease a child's fears about COVID-19""]","['https://www.abbynews.com/opinion/column-why-you-probably-agree-with-the-black-lives-matter-slogan-even-if-you-think-you-dont/', 'https://toronto.ctvnews.ca/bessie-celebrates-105th-birthday-having-survived-two-pandemics-1.5021338', 'https://www.thestar.com/life/fashion_style/2020/07/14/if-i-wanted-a-nude-bra-i-had-to-paint-one.html', 'https://www.nsnews.com/sports/canadian-international-alphonso-davies-credits-family-for-positive-outlook-1.24145815', 'http://www.burnabynow.com/opinion/blogs/mommy-s-grounded/opinion-how-to-ease-a-child-s-fears-about-covid-19-1.24098892']",61.0666922,-107.9917071,lifestyle,20.0,14.0,11.0,"['https://www.abbynews.com/opinion/column-why-you-probably-agree-with-the-black-lives-matter-slogan-even-if-you-think-you-dont/', 'https://toronto.ctvnews.ca/bessie-celebrates-105th-birthday-having-survived-two-pandemics-1.5021338', 'https://www.thestar.com/life/fashion_style/2020/07/14/if-i-wanted-a-nude-bra-i-had-to-paint-one.html', 'https://www.nsnews.com/sports/canadian-international-alphonso-davies-credits-family-for-positive-outlook-1.24145815', 'http://www.burnabynow.com/opinion/blogs/mommy-s-grounded/opinion-how-to-ease-a-child-s-fears-about-covid-19-1.24098892']"
Chicago,just people times think things family feel know ,0,"['Debutantes denied: Cotillion group turns 60, but coming out has to wait until 2021 thanks to COVID-19']",['https://www.thestar.com/life/2020/07/10/debutantes-denied-cotillion-group-turns-60-but-coming-out-has-to-wait-until-2021-thanks-to-covid-19.html'],41.8755616,-87.6244212,lifestyle,20.0,14.0,11.0,['https://www.thestar.com/life/2020/07/10/debutantes-denied-cotillion-group-turns-60-but-coming-out-has-to-wait-until-2021-thanks-to-covid-19.html']
Clarins,just people times think things family feel know ,0,['The 11-step guide to looking completely natural'],['https://www.vancourier.com/community/community-photo-galleries/the-11-step-guide-to-looking-completely-natural-1.17983965'],44.8416445,-0.5793295999999999,lifestyle,20.0,14.0,11.0,['https://www.vancourier.com/community/community-photo-galleries/the-11-step-guide-to-looking-completely-natural-1.17983965']
Decameron,just people times think things family feel know ,0,"['David Bergen on pandemic reading: ‘The stories are not about the plague and death, but about life’']",['https://www.thestar.com/entertainment/books/2020/05/08/david-bergen-on-pandemic-reading-the-stories-are-not-about-the-plague-and-death-but-about-life.html'],8.3696103,-80.1312277,lifestyle,20.0,14.0,11.0,['https://www.thestar.com/entertainment/books/2020/05/08/david-bergen-on-pandemic-reading-the-stories-are-not-about-the-plague-and-death-but-about-life.html']
Diabolique,just people times think things family feel know ,0,['Here are six of the best cream blushes on the market'],['https://www.thestar.com/life/fashion_style/2020/07/16/here-are-six-of-the-best-cream-blushes-on-the-market.html'],0.0,0.0,lifestyle,20.0,14.0,11.0,['https://www.thestar.com/life/fashion_style/2020/07/16/here-are-six-of-the-best-cream-blushes-on-the-market.html']
Dubai,just people times think things family feel know ,0,['Secrets and Lives with Tanner Caouette – Maple Ridge News'],['https://www.mapleridgenews.com/life/secrets-and-lives-with-tanner-caouette/'],25.0750095,55.18876088183319,lifestyle,20.0,14.0,11.0,['https://www.mapleridgenews.com/life/secrets-and-lives-with-tanner-caouette/']
England,just people times think things family feel know ,0,['What’s the deal with a partridge in a pear tree?'],['https://www.vancourier.com/community/what-s-the-deal-with-a-partridge-in-a-pear-tree-1.2137708'],52.7954791,-0.5402402866174321,lifestyle,20.0,14.0,11.0,['https://www.vancourier.com/community/what-s-the-deal-with-a-partridge-in-a-pear-tree-1.2137708']
Euphorbia,just people times think things family feel know ,0,['Low-maintenance succulents make watering a breeze'],['https://www.ctvnews.ca/lifestyle/low-maintenance-succulents-make-watering-a-breeze-1.4766473'],7.0633783,125.5421881,lifestyle,20.0,14.0,11.0,['https://www.ctvnews.ca/lifestyle/low-maintenance-succulents-make-watering-a-breeze-1.4766473']
Farmington Hills,just people times think things family feel know ,0,['Nissan’s ‘working remotely’ could serve as a template for the future'],['https://www.thestar.com/autos/opinion/2020/04/25/nissans-working-remotely-could-serve-as-a-template-for-the-future.html'],42.4853125,-83.3771553,lifestyle,20.0,14.0,11.0,['https://www.thestar.com/autos/opinion/2020/04/25/nissans-working-remotely-could-serve-as-a-template-for-the-future.html']
Figaro,just people times think things family feel know ,0,['Here are tips for new home gardeners hoping to keep their mind off COVID-19'],['https://www.vancourier.com/news/here-are-tips-for-new-home-gardeners-hoping-to-keep-their-mind-off-covid-19-1.24109993'],48.8726271,2.337146206296788,lifestyle,20.0,14.0,11.0,['https://www.vancourier.com/news/here-are-tips-for-new-home-gardeners-hoping-to-keep-their-mind-off-covid-19-1.24109993']
Foria,just people times think things family feel know ,0,['Sex with Mish Way: Rat sex and the female orgasm'],['https://www.vancourier.com/living/sex-with-mish-way-rat-sex-and-the-female-orgasm-1.1420625'],40.0924806,15.3231019,lifestyle,20.0,14.0,11.0,['https://www.vancourier.com/living/sex-with-mish-way-rat-sex-and-the-female-orgasm-1.1420625']
Fort McMurray,just people times think things family feel know ,0,"[""'I was overdosing, I knew it': How a Cape Breton man fought addiction and found community""]",['https://www.cbc.ca/radio/nowornever/i-was-overdosing-i-knew-it-how-a-cape-breton-man-fought-addiction-and-found-community-1.5429358'],56.7291997,-111.38852209999999,lifestyle,20.0,14.0,11.0,['https://www.cbc.ca/radio/nowornever/i-was-overdosing-i-knew-it-how-a-cape-breton-man-fought-addiction-and-found-community-1.5429358']
France,just people times think things family feel know ,0,"['When long-time chef Nicholas Waters first started Toque Catering in 2013, he never expected it to take off – Maple Ridge News']",['https://www.mapleridgenews.com/life/when-long-time-chef-nicholas-waters-first-started-toque-catering-in-2013-he-never-expected-it-to-take-off/'],46.603354,1.8883334999999999,lifestyle,20.0,14.0,11.0,['https://www.mapleridgenews.com/life/when-long-time-chef-nicholas-waters-first-started-toque-catering-in-2013-he-never-expected-it-to-take-off/']
Genelle,just people times think things family feel know ,0,['Lost dog swims Columbia River multiple times searching for home – Maple Ridge News'],['https://www.mapleridgenews.com/trending-now/lost-dog-swims-columbia-river-multiple-times-searching-for-home/'],49.2091515,-117.6982272,lifestyle,20.0,14.0,11.0,['https://www.mapleridgenews.com/trending-now/lost-dog-swims-columbia-river-multiple-times-searching-for-home/']
