,topic_1,topics,num_articles_1,num_articles_2,resid,category,probability
0,0,life loving don friends world ve something loads ,464,726,0.9661626716751461,local,25.912589815602843
1,1,th login username subscriber news office contact hi sorry order viewed ,112,54,0.6459577129640606,local,27.43267160984906
2,2,school students district parent learning class teacher plan ,249,189,0.8722631855423526,politics,19.55317346342534
3,3,health case testing hospital careful outbreak deaths province ,375,294,0.9243025741979394,covid-19,75.55573999467056
4,4,game team plays seasons players league hockey coaching ,353,177,0.9334261251978202,sports,99.99808223404443
5,5,investments td investors financial tax advisor banked insurance ,221,263,0.9229961385683072,business,31.60066408562678
6,6,party conservation tools election government liberals mr trudeau ,250,240,0.9265516234448369,politics,70.2064847788404
7,7,kamloops donation week support local afford free media advertising ,132,259,0.8790707868915024,local,27.44795096774671
8,8,lake parking trailing wildfire bc city rivers area ,614,547,0.9663839713983603,local,37.30860739990546
9,9,estate real house prices market gallery agent ,160,274,0.9072110272915536,business,39.17336291980371
10,10,police rcmp man investigation office court reported black ,250,340,0.9446345603943865,local,49.31661260898647
11,11,art festivities film artist music event theatre performance ,495,319,0.9567747733993709,arts & entertainment,68.9137151143142
12,12,company fish product seafood prices market salmon million ,501,446,0.9590174500253265,business,46.90863000458611
13,13,burnaby business foods photograph photos jennifer restaurant customers ,215,224,0.9430688607633883,local,30.081832756332055
14,14,vehicle car drive driver engineering wheel model litre ,202,241,0.9288056515628283,business,48.52437210488028
