,topic_num,topics,num_articles,resid,category,probability
0,0,just people times think things family feel know ,210,0.9551287706384087,lifestyle,76.65922391809104
1,1,cases health covid tested new province outbreaks hospital ,206,0.9026817590201693,covid-19,99.36391800755389
2,2,teams players game season league play hockey nhl ,334,0.925194359575259,sports,99.89519916490022
3,3,police investigate office rcmp man charge incidents arrested ,191,0.9155577084159403,local,61.003133326970726
4,4,arts artists gallery exhibit painting council culture working ,86,0.8923955914127425,local,99.01506012567542
5,5,trudeau government minister federal billion charities prime programming ,108,0.9013500766616064,politics,99.06293014834134
6,6,restaurants food dishes indian menu richmond custom dining ,231,0.9497301930725708,lifestyle,56.32154626020507
7,7,businesses client's service custom company community help working ,289,0.9526651043366995,local,77.35126420567231
8,8,north shores news vancouver photos ,156,0.9076952959690089,local,93.99650188501197
9,9,funeral home forest lawn arrange ,38,0.6963937295875174,local,64.94419118408818
10,10,engineers wheels litre model rear seat prices toyota ,71,0.8828005113162578,business,99.08860372525076
11,11,burnaby new west jennifer gauthier photograph photos ,183,0.9354864100033945,local,68.08831379340464
12,12,car vehicle driver driving road highway truck crashing ,130,0.9319250165038867,local,73.55285039315727
13,13,mask wear face public cover mandatory ,71,0.8564674878809225,covid-19,97.67941632877098
14,14,school students programming learn educator children parents kids ,155,0.9277565727510372,lifestyle,73.57639865435051
15,15,city parking council building coquitlam community street site ,307,0.9532588210205077,local,84.93054515834866
16,16,music performance songs album concert musicians bands play ,166,0.9312615258108706,arts & entertainment,99.79424300815838
17,17,court trump cancer china justice alleged law trial ,240,0.9575627006850949,politics,94.6708639566135
18,18,langley ridge editor maple chilliwack letters facebook follow ,181,0.9450511473046042,local,99.5291753766949
19,19,canada canadians flights traveller borders airlines country air ,192,0.9402653457552148,covid-19,38.70345224309676
20,20,bowen island community trail event sea ceremony ,104,0.9043956678821309,local,83.82524216232528
21,21,patients dental dr denture clinic health treatment teeth ,183,0.9365722807885954,covid-19,55.310062414631155
22,22,key number cycle energy months ,22,0.6304159598757109,local,28.522595654543025
23,23,cent marketing prices home sales real estate ,214,0.9287007137113152,business,99.7516046051916
24,24,films theatre movie festival screens story netflix ,138,0.9223909792207912,local,98.64415215708252
