,topic_num,topics,num_articles,resid,category,probability
0,0,patients client's dr care clinic dental health treatment ,258,0.9518563483812853,covid-19,57.24386696779726
1,1,cases health tested province new outbreaks virus deaths ,241,0.9125990128962802,covid-19,97.26258535474834
2,2,teams players game season league play hockey nhl ,354,0.9232619356295656,sports,99.89519916490022
3,3,police investigate rcmp man office charge incidents arrested ,269,0.9265357254229565,local,61.003133326970726
4,4,arts artists gallery exhibit painting culture council music ,124,0.8975338211466233,arts & entertainment,99.75763151327811
5,5,school students programming learn educator children parents kids ,259,0.9382226347048345,lifestyle,73.57639865435051
6,6,cent government canadians businesses billion million federal company ,519,0.9567285755440992,business,94.3641708074213
7,7,films music story books songs loved performance life ,702,0.9649497331462394,arts & entertainment,99.84931816708608
8,8,north shores news vancouver photos ,156,0.9024173173340975,local,93.99650188501197
9,9,car vehicle driving engineers wheels driver seat rear ,169,0.9215510002551685,business,98.47918740017431
10,10,funeral home forest lawn arrange memories ,40,0.6797054463949633,local,44.226938594705615
11,11,city parking council building resident street houses site ,364,0.9595531354973361,local,77.71328422368943
12,12,burnaby photos new west photograph jennifer gauthier festival ,232,0.9451757902014142,local,45.95981636852572
13,13,restaurants food custom businesses store dishes local richmond ,407,0.9568952811946771,local,57.38932261847264
14,14,mask wear face public cover mandatory ,112,0.8816967146774272,covid-19,97.67941632877098
