,topics,num_articles_1,num_articles_2,category,probability
0,teams game players play sports season league coached hockey club,0,0,sports,99.8402997587761
1,businesses marketing company sales prices property vancouver real owner estate,124,0,local,35.93475413335097
2,school programming students children learn kids educator parents child aging,0,0,local,60.64341967911434
3,months questions concerns rules ask before very happen response allowed,167,502,local,41.41605366213368
4,city parking council street houses building surrey project developments resident,0,96,local,94.86337518151761
5,burnaby westminster st royal info church west meet saturdays ave,0,0,local,52.79546257626442
6,support organizations local society donated insurance programming raising fund food,0,0,local,55.86257792796637
7,police office investigate rcmp july man reporter charge incidents crime,424,74,local,74.8453835345923
8,floor spacing designated building houses rooms woods kitchen zone project,0,0,local,36.01023096521268
9,music performance films theatre play dance songs movie album artists,0,0,arts & entertainment,99.02239111450562
10,financial tax pay canadians jobs cost money banks rate increased,292,0,local,46.22935018218136
11,mask health tested public wear face virus contact public health wear mask,410,431,covid-19,99.74032642253223
12,event parking richmond hosted july saturdays centre city annual festival,0,0,local,54.086991953766486
13,court law legal china security rights lawyers cases issued statement,108,297,politics,89.23303376347233
14,arts artists facebook twitter video read online local chilliwack media,0,0,local,95.38809089799504
15,food restaurants store shop custom local offers located order delivery,0,0,local,68.7692459575794
16,reopened province closed plans safe distancing safety british health physical,215,402,local,34.59484562998813
17,health care patients dr hospital clinic treatment medical drugs therapy,118,0,covid-19,55.18688853434766
18,ridge maple fraser maple ridge valley meadows lower mainland lower mainland indian,0,0,local,81.08930804498691
19,women different award jobs member tim points waterloo since level,0,0,local,38.95265238846753
20,really lot ve very tried something good don little got,405,231,lifestyle,76.80569327807838
21,north vancouver shores news north shores west north vancouver photos van shores news,0,0,local,44.68573798623991
22,funeral energy number months life cycle key memories plans lawn,0,0,local,28.279353693402154
23,island traveller bowen visitor tourism experiences bowen island hotel destination photos,0,0,local,48.07665329398996
24,teams person client's offers centre fitting best focusing staff every,0,78,local,50.585411673172885
25,dog life hear walk bodies person better good training changes,0,0,local,54.761952906163344
26,watering rivers parking trail plant garden lake mountain summer trees,0,0,local,48.07662038643352
27,engineers model prices seat vehicle wheels based driving electric control,0,0,business,82.30054478845037
28,books story read friend's winners celebration life loved mother writing,50,228,local,61.48803271224105
29,cases health province deaths official reporter total confirm ontario announced,662,154,covid-19,31.784286434949454
30,number cases resident outbreaks isolated positive care staff ottawa self,168,269,local,49.743872450270175
31,canadians state reporter country nation black changes research university world,393,691,local,33.551387429645544
32,government federal minister trudeau parties million prime support federal government liberating,87,282,politics,77.71510142583664
33,car vehicle driver driving road highway any truck air heating,112,0,local,57.54409526347778
34,coquitlam tried website client's information email offers port explains experiences,0,0,local,29.990747333694866
