,topic_num,topics,num_articles,resid,category,probability
0,0,films music story bowen songs island books world ,389,0.9637268078453389,arts & entertainment,99.74175521299486
1,1,cases health tested new province virus deaths outbreaks ,222,0.9158586272073864,covid-19,94.99170504191441
2,2,players teams game season league play hockey sports ,316,0.9282535136150805,sports,99.89333917566806
3,3,police rcmp investigate man charge office incidents crime ,227,0.9269224094940535,local,74.77528398261029
4,4,burnaby photos new west photograph jennifer gauthier ,178,0.9431023686669359,local,64.35395765527768
5,5,school students programming learn educator children parents kids ,253,0.9419590522611607,lifestyle,77.5543093894011
6,6,government canadians federal businesses billion trudeau minister million ,488,0.9595422422527669,politics,97.26267407032563
7,7,north shores news vancouver photos ,148,0.9040354520206003,local,93.17402437763344
8,8,patients dr dental clinic client's care health denture ,249,0.9510569137125292,covid-19,92.92258004334926
9,9,funeral home forest lawn arrange knapman ,40,0.6908396554047161,local,69.76220694228505
10,10,restaurants food custom businesses store dishes local menu ,394,0.9569766482461719,local,63.015138516055366
11,11,city parking council houses building street site resident ,385,0.9602887030709683,local,78.48801245586283
12,12,arts artists gallery exhibit painting culture council studio ,147,0.9052487399584406,local,98.29631616642716
13,13,mask wear face public cover mandatory ,109,0.8900120318944045,covid-19,97.56209746157866
14,14,car vehicle engineers prices driving driver model wheels ,190,0.9443710102997896,business,98.65308176441171
